track_id,zone,error_type
126795584,matagalls,5
126911918,matagalls,3
126912034,matagalls,5
126939832,matagalls,5
126947005,matagalls,1
126960439,matagalls,5
126970662,matagalls,5
126976766,matagalls,1
127017755,matagalls,5
127027677,matagalls,5
127029195,matagalls,2
127050717,matagalls,1
127069505,matagalls,3
127143530,matagalls,5
127197035,matagalls,1
127226999,matagalls,5
127232496,matagalls,1
127250172,matagalls,5
127276650,matagalls,5
127338936,matagalls,1
127348819,matagalls,5
127368818,matagalls,1
127369418,matagalls,3
127372089,matagalls,2
127373444,matagalls,1
127376039,matagalls,5
127379010,matagalls,2
127397557,matagalls,1
127415504,matagalls,1
127468605,matagalls,3
127471513,matagalls,5
127478960,matagalls,1
127486822,matagalls,5
127487178,matagalls,5
127491891,matagalls,5
127509780,matagalls,1
127513610,matagalls,1
127519464,matagalls,5
127527021,matagalls,1
127533930,matagalls,1
127535054,matagalls,1
127536339,matagalls,3
127536952,matagalls,3
127536961,matagalls,5
127599939,matagalls,3
127689392,matagalls,1
127726416,matagalls,1
127746366,matagalls,3
127754812,matagalls,1
127769726,matagalls,5
127803038,matagalls,2
127824178,matagalls,1
127828534,matagalls,5
127836108,matagalls,5
127869501,matagalls,5
127879877,matagalls,2
127889519,matagalls,3
127898203,matagalls,3
127907674,matagalls,1
127936198,matagalls,1
127967276,matagalls,5
127975815,matagalls,1
127977025,matagalls,5
127995276,matagalls,5
127996209,matagalls,5
128000743,matagalls,3
128000795,matagalls,3
128011682,matagalls,3
128049171,matagalls,3
128071617,matagalls,1
128081802,matagalls,5
128083721,matagalls,5
128104898,matagalls,5
128104908,matagalls,5
128111206,matagalls,5
128113115,matagalls,1
128116483,matagalls,1
128119439,matagalls,3
128124437,matagalls,1
128126118,matagalls,1
128126592,matagalls,1
128126630,matagalls,1
128132391,matagalls,1
128132962,matagalls,3
128133093,matagalls,1
128134219,matagalls,1
128154337,matagalls,1
128156646,matagalls,1
128165959,matagalls,5
128170068,matagalls,1
128171834,matagalls,1
128175810,matagalls,5
128221224,matagalls,3
128265686,matagalls,1
128323440,matagalls,3
128339216,matagalls,1
128390468,matagalls,1
128447801,matagalls,5
128469411,matagalls,1
128469924,matagalls,1
128475927,matagalls,1
128482168,matagalls,1
128506881,matagalls,1
128527339,matagalls,3
128543381,matagalls,1
128554280,matagalls,5
128610081,matagalls,5
128629357,matagalls,5
128629667,matagalls,5
128648303,matagalls,1
128652861,matagalls,5
128654816,matagalls,2
128663816,matagalls,5
128670520,matagalls,5
128681203,matagalls,1
128681510,matagalls,1
128687083,matagalls,5
128687864,matagalls,5
128688284,matagalls,5
128707999,matagalls,5
128718399,matagalls,5
128723174,matagalls,3
128725657,matagalls,1
128730357,matagalls,5
128754414,matagalls,3
128777994,matagalls,5
128782714,matagalls,5
128797468,matagalls,5
128802200,matagalls,1
128820347,matagalls,1
128924706,matagalls,1
128938603,matagalls,5
128950652,matagalls,5
128985125,matagalls,5
128996109,matagalls,5
129006158,matagalls,1
129010295,matagalls,5
129029823,matagalls,1
129076427,matagalls,1
129080102,matagalls,3
129081359,matagalls,2
129084499,matagalls,1
129088226,matagalls,1
129112117,matagalls,3
129165685,matagalls,5
129165859,matagalls,3
129166351,matagalls,1
129171768,matagalls,3
129172165,matagalls,1
129180729,matagalls,1
129231899,matagalls,5
129233120,matagalls,2
129241487,matagalls,5
129251332,matagalls,5
129254451,matagalls,3
129254526,matagalls,3
129261883,matagalls,1
129299697,matagalls,3
129321874,matagalls,1
129330640,matagalls,1
129345600,matagalls,5
129346882,matagalls,1
129352423,matagalls,1
129353480,matagalls,1
129358887,matagalls,1
129391749,matagalls,1
129402482,matagalls,1
129426384,matagalls,3
